alpha_1,alpha_2,N,d,h,nb_layers,nb_head,para_head,loss,unif_loss,best_loss
0.9,0.6,100,10,0,1,1,1,1.9573152685165405,2.922641332571649,1.0026357853412629
0.9,0.6,100,10,0,1,1,5,1.7648697674274445,2.922641332571649,1.0026357853412629
0.9,0.6,100,10,0,1,1,9,1.6508589208126068,2.922641332571649,1.0026357853412629
0.9,0.6,100,10,0,1,1,13,1.6297727525234222,2.922641332571649,1.0026357853412629
0.9,0.6,100,10,0,1,1,17,1.5473590672016144,2.922641332571649,1.0026357853412629
0.9,0.6,100,10,0,1,1,21,1.5354414331912993,2.922641332571649,1.0026357853412629
0.9,0.6,100,10,0,2,1,1,1.9096437585353851,2.922641332571649,1.0026357853412629
0.9,0.6,100,10,0,2,1,5,1.669945479631424,2.922641332571649,1.0026357853412629
0.9,0.6,100,10,0,2,1,9,1.557927895784378,2.922641332571649,1.0026357853412629
0.9,0.6,100,10,0,2,1,13,1.5302777922153472,2.922641332571649,1.0026357853412629
0.9,0.6,100,10,0,2,1,17,1.4771402633190156,2.922641332571649,1.0026357853412629
0.9,0.6,100,10,0,2,1,21,1.4564760935306549,2.922641332571649,1.0026357853412629
0.9,0.6,100,10,0,3,1,1,1.9226037311553954,2.922641332571649,1.0026357853412629
0.9,0.6,100,10,0,3,1,5,1.6584909808635713,2.922641332571649,1.0026357853412629
0.9,0.6,100,10,0,3,1,9,1.5482972490787505,2.922641332571649,1.0026357853412629
0.9,0.6,100,10,0,3,1,13,1.5078350818157196,2.922641332571649,1.0026357853412629
0.9,0.6,100,10,0,3,1,17,1.4960931575298309,2.922641332571649,1.0026357853412629
0.9,0.6,100,10,0,3,1,21,1.463616350889206,2.922641332571649,1.0026357853412629
0.9,0.6,100,10,0,5,1,1,1.8105728352069854,2.922641332571649,1.0026357853412629
0.9,0.6,100,10,0,5,1,5,1.630514498949051,2.922641332571649,1.0026357853412629
0.9,0.6,100,10,0,5,1,9,1.516863270998001,2.922641332571649,1.0026357853412629
0.9,0.6,100,10,0,5,1,13,1.4731400787830353,2.922641332571649,1.0026357853412629
0.9,0.6,100,10,0,5,1,17,1.4638997304439545,2.922641332571649,1.0026357853412629
0.9,0.6,100,10,0,5,1,21,1.4169671070575713,2.922641332571649,1.0026357853412629
0.9,0.6,100,10,0,8,1,1,1.8344163370132447,2.922641332571649,1.0026357853412629
0.9,0.6,100,10,0,8,1,5,1.5572118294239043,2.922641332571649,1.0026357853412629
0.9,0.6,100,10,0,8,1,9,1.5345961105823518,2.922641332571649,1.0026357853412629
0.9,0.6,100,10,0,8,1,13,1.4708821809291839,2.922641332571649,1.0026357853412629
0.9,0.6,100,10,0,8,1,17,1.465348595380783,2.922641332571649,1.0026357853412629
0.9,0.6,100,10,0,8,1,21,1.4419395983219148,2.922641332571649,1.0026357853412629
