lamb,N,d,h,nb_layers,nb_head,para_head,loss
11.731061935424805,50,5,50,1,1,1,0.004853588161058724
11.691054344177246,50,5,50,1,1,1,0.0434161576628685
11.611141204833984,50,5,50,1,1,1,0.11949116587638856
11.236297607421875,50,5,50,1,1,1,0.4587439173460007
10.605720520019531,50,5,50,1,1,1,0.9378401696681976
9.7051420211792,50,5,50,1,1,1,1.4309423851966858
7.136811256408691,50,5,50,1,1,1,2.1640384125709535
5.698606491088867,50,5,50,1,1,1,2.365526282787323
4.424193382263184,50,5,50,1,1,1,2.406686861515045
2.7131669521331787,50,5,50,1,1,1,2.1369042348861695
